npi,provider_type,state,entity_code,anomaly_score_raw,isolation_forest_anomaly_flag,risk_score_0_100,risk_category,lof_anomaly_flag,lof_score,leie_excluded_match,risk_reasons
1003028556,Neurology,CA,I,0.1191428351609286,1,77.67,Critical,0,1.0397360236220456,0,unusually high total services billed (z=229.0 vs. population median); unusually high 5-year average total services (z=129.1 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=124.9 vs. population median); unusually high services per beneficiary (z=92.5 vs. population median); unusually high services per billing code (z=74.1 vs. population median)
1003133612,Ophthalmology,NY,I,0.11726708448261947,1,77.22,Critical,0,1.124603242239545,0,unusually high total Medicare payment received (z=79.1 vs. population median); unusually high total submitted charges (z=75.3 vs. population median); unusually high 5-year average total payment (z=71.0 vs. population median); unusually high total services billed (z=70.8 vs. population median); unusually high 5-year average total services (z=50.7 vs. population median)
1003104381,Ambulance Service Provider,FL,O,0.11099303308035124,1,75.71,Critical,0,1.369744892269002,0,unusually high total submitted charges (z=242.9 vs. population median); unusually high services per billing code (z=115.8 vs. population median); unusually high total Medicare payment received (z=59.6 vs. population median); unusually high 5-year average total payment (z=58.9 vs. population median); unusually high charge-per-service deviation from specialty peers (z=40.6 vs. population median)
1003058157,Neurology,NM,I,0.11040140977865809,1,75.56,Critical,0,1.016308505112691,0,unusually high services-per-beneficiary deviation from specialty peers (z=294.3 vs. population median); unusually high services per beneficiary (z=218.0 vs. population median); unusually high 5-year average services per beneficiary (z=191.9 vs. population median); unusually high total services billed (z=175.2 vs. population median); unusually high 5-year average total services (z=146.3 vs. population median)
1003016916,Ophthalmology,MI,I,0.10956923968312626,1,75.36,Critical,0,1.0655018744802676,0,unusually high 5-year average total payment (z=90.0 vs. population median); unusually high total Medicare payment received (z=87.3 vs. population median); unusually high total services billed (z=76.2 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=60.2 vs. population median); unusually high 5-year average total services (z=45.9 vs. population median)
1003099813,Medical Oncology,TX,I,0.10297939003534973,1,73.78,High,0,1.0183868103711828,0,unusually high total services billed (z=133.3 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=132.4 vs. population median); unusually high 5-year average total services (z=128.3 vs. population median); unusually high services per beneficiary (z=112.5 vs. population median); unusually high 5-year average services per beneficiary (z=106.6 vs. population median)
1003143801,Internal Medicine,IL,I,0.10287961388996059,1,73.76,High,0,1.0178636167503954,0,unusually high services-per-beneficiary deviation from specialty peers (z=326.6 vs. population median); unusually high services per beneficiary (z=281.2 vs. population median); unusually high 5-year average services per beneficiary (z=257.4 vs. population median); unusually high services per billing code (z=70.0 vs. population median); unusually high 5-year average total services (z=49.3 vs. population median)
1003013848,Diagnostic Radiology,FL,I,0.09865461019014543,1,72.74,High,0,1.0893768086088524,0,unusually high services-per-beneficiary deviation from specialty peers (z=215.8 vs. population median); unusually high total services billed (z=149.7 vs. population median); unusually high 5-year average total services (z=70.5 vs. population median); unusually high services per beneficiary (z=46.7 vs. population median); unusually high total submitted charges (z=36.7 vs. population median)
1003013616,Neurology,SC,I,0.09677684391726116,1,72.29,High,0,1.0162530766175544,0,unusually high services-per-beneficiary deviation from specialty peers (z=213.3 vs. population median); unusually high services per beneficiary (z=158.0 vs. population median); unusually high total services billed (z=152.9 vs. population median); unusually high 5-year average services per beneficiary (z=144.6 vs. population median); unusually high 5-year average total services (z=99.3 vs. population median)
1003019019,Ophthalmology,MO,I,0.09553755639742523,1,71.99,High,0,1.2406048479883345,0,unusually high 5-year average total payment (z=62.1 vs. population median); unusually high total Medicare payment received (z=58.9 vs. population median); unusually high total services billed (z=48.1 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=43.4 vs. population median); unusually high 5-year average total services (z=27.1 vs. population median)
1003058546,Urology,MN,I,0.09054410510608246,1,70.79,High,0,1.066164189349862,0,unusually high total services billed (z=157.4 vs. population median); unusually high 5-year average total services (z=115.9 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=43.6 vs. population median); unusually high services per billing code (z=30.7 vs. population median); unusually high total beneficiaries served (z=29.3 vs. population median)
1003151671,Independent Diagnostic Testing Facility (IDTF),AL,O,0.09046163581781497,1,70.77,High,0,1.2220864322038592,0,unusually high 5-year average total services (z=160.6 vs. population median); unusually high total services billed (z=159.8 vs. population median); unusually high services per beneficiary (z=34.9 vs. population median); unusually high 5-year average services per beneficiary (z=31.9 vs. population median); unusually high total submitted charges (z=31.6 vs. population median)
1003106824,Ophthalmology,IN,I,0.08660504227171428,1,69.84,High,0,1.283713831307384,0,unusually high total Medicare payment received (z=107.4 vs. population median); unusually high 5-year average total payment (z=80.1 vs. population median); unusually high total submitted charges (z=59.4 vs. population median); unusually high total services billed (z=44.9 vs. population median); unusually high 5-year average total services (z=27.7 vs. population median)
1003090093,Diagnostic Radiology,NY,I,0.08543233297942443,1,69.56,High,0,1.0215783672651477,0,unusually high services-per-beneficiary deviation from specialty peers (z=193.8 vs. population median); unusually high 5-year average total services (z=147.7 vs. population median); unusually high total services billed (z=140.5 vs. population median); unusually high services per billing code (z=59.0 vs. population median); unusually high services per beneficiary (z=41.9 vs. population median)
1003105677,Ophthalmology,MD,I,0.08230726403152022,1,68.81,High,0,1.182358617370799,0,unusually high total Medicare payment received (z=89.2 vs. population median); unusually high total submitted charges (z=54.5 vs. population median); unusually high 5-year average total payment (z=53.0 vs. population median); unusually high total services billed (z=51.8 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=29.7 vs. population median)
1003115536,Physical Medicine and Rehabilitation,MO,I,0.07931123308748622,1,68.09,High,0,1.0258774164329054,0,unusually high services per beneficiary (z=148.5 vs. population median); unusually high 5-year average services per beneficiary (z=87.3 vs. population median); unusually high total services billed (z=78.6 vs. population median); unusually high 5-year average total services (z=53.9 vs. population median); unusually high services per billing code (z=47.1 vs. population median)
1003078973,Gastroenterology,AZ,I,0.0780129776212466,1,67.77,High,0,1.0810852609112702,0,unusually high services-per-beneficiary deviation from specialty peers (z=168.6 vs. population median); unusually high total services billed (z=36.0 vs. population median); unusually high multi-year service-volume trend (z=35.9 vs. population median); unusually high services per beneficiary (z=33.4 vs. population median); unusually high 5-year average total services (z=30.7 vs. population median)
1003077389,Neurology,IL,I,0.0778662688426186,1,67.74,High,0,1.0182645567928943,0,unusually high services-per-beneficiary deviation from specialty peers (z=86.5 vs. population median); unusually high services per beneficiary (z=64.1 vs. population median); unusually high total services billed (z=55.7 vs. population median); unusually high 5-year average services per beneficiary (z=49.9 vs. population median); unusually high 5-year average total services (z=43.2 vs. population median)
1003002312,Rheumatology,MA,I,0.07785910802065132,1,67.74,High,1,1.6800988359306182,0,unusually high drug-payment-share deviation from specialty peers (z=849.8 vs. population median); unusually high 5-year average services per beneficiary (z=106.6 vs. population median); unusually high 5-year average total services (z=103.0 vs. population median); unusually high services per beneficiary (z=31.3 vs. population median); unusually high 5-year average total payment (z=26.5 vs. population median)
1003134503,Neurology,MD,I,0.07521847710038876,1,67.1,High,0,1.5366055565695522,0,unusually high year-over-year service volume change (z=122.3 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=78.5 vs. population median); unusually high multi-year service-volume trend (z=60.9 vs. population median); unusually high services per beneficiary (z=58.2 vs. population median); unusually high 5-year average services per beneficiary (z=26.2 vs. population median)
1003077322,Family Practice,NY,I,0.07425537101698954,1,66.87,High,1,2.3652472747940747,0,unusually high multi-year service-volume trend (z=559.2 vs. population median); unusually high 5-year average total services (z=483.7 vs. population median); unusually high multi-year payment trend (z=290.7 vs. population median); unusually high 5-year average total payment (z=143.2 vs. population median); unusually high total services billed (z=58.7 vs. population median)
1003146283,Physician Assistant,AL,I,0.07167486259557054,1,66.25,High,0,1.0318241438296283,0,unusually high services-per-beneficiary deviation from specialty peers (z=104.3 vs. population median); unusually high services per beneficiary (z=62.3 vs. population median); unusually high 5-year average services per beneficiary (z=56.9 vs. population median); unusually high 5-year average total services (z=25.1 vs. population median); unusually high total services billed (z=25.0 vs. population median)
1003072786,Ophthalmology,CA,I,0.06971013993545228,1,65.78,High,0,1.044006921757898,0,unusually high services-per-beneficiary deviation from specialty peers (z=111.0 vs. population median); unusually high services per beneficiary (z=53.6 vs. population median); unusually high total services billed (z=36.3 vs. population median); unusually high services per billing code (z=30.4 vs. population median); unusually high total Medicare payment received (z=21.8 vs. population median)
